Title,genres,spoken_languages,production_countries,byline,headline,keywords,word_count,snippet,web_url,pub_date,source
‘Untogether,nan,nan,nan,By Jeannette Catsoulis,"‘Untogether’ Review: Adrift in Los Angeles, Looking for Love","subject: Movies;persons: Dornan, Jamie;persons: Kirke, Jemima;persons: Kirke, Lola;creative_works: Untogether (Movie);persons: Forrest, Emma;",269.0,Jemima Kirke and Lola Kirke play damaged siblings in this exasperatingly affected romantic drama from Emma Forrest.,https://www.nytimes.com/2019/02/07/movies/untogether-review.html,2019-02-07T12:00:01+0000,The New York Times
‘Cold War,nan,nan,nan,By Manohla Dargis,‘Cold War’ Review: Love Without Borders,"subject: Movies;creative_works: Cold War (Movie);persons: Pawlikowski, Pawel;persons: Kot, Tomasz;persons: Kulesza, Agata;persons: Szyc, Borys;persons: Kulig, Joanna;",981.0,"In post-World War II Poland, a singer and a piano player find each other, fall in love and soon end up on opposite sides of history.",https://www.nytimes.com/2018/12/20/movies/cold-war-review.html,2018-12-20T17:09:56+0000,The New York Times
‘If Beale Street Could Talk,nan,nan,nan,By Manohla Dargis,‘If Beale Street Could Talk’ Review: Trusting Love in a World Ruled by Hate,"subject: Movies;creative_works: If Beale Street Could Talk (Movie);persons: Jenkins, Barry;persons: Baldwin, James (1924-87);persons: James, Stephan (1993- );persons: Layne, KiKi;persons: Wittrock, Finn;",1057.0,"The couple in this adaptation of James Baldwin’s novel are loving while black, an existential truth that is turned into a nightmare.",https://www.nytimes.com/2018/12/12/movies/if-beale-street-could-talk-review.html,2018-12-12T21:30:02+0000,The New York Times
‘Asher,nan,nan,nan,By Glenn Kenny,‘Asher’ Review: An Aging Hit Man Finds Love,"subject: Movies;creative_works: Asher (Movie);persons: Caton-Jones, Michael;persons: Perlman, Ron;persons: Janssen, Famke;",259.0,Ron Perlman and Famke Janssen star in this film that finds a hired killer dealing with his own mortality.,https://www.nytimes.com/2018/12/06/movies/asher-review.html,2018-12-06T12:00:04+0000,The New York Times
‘The Party,nan,nan,nan,By Glenn Kenny,‘The Party’s Just Beginning’ Review: Loss and Love in Inverness,"subject: Movies;creative_works: The Party's Just Beginning (Movie);persons: Pace, Lee;persons: Gillan, Karen (1987- );persons: Beard, Matthew (1989- );",264.0,The actress Karen Gillan gets glum to play a depressed young woman in her feature directorial debut.,https://www.nytimes.com/2018/12/06/movies/the-partys-just-beginning-review.html,2018-12-06T12:00:01+0000,The New York Times
‘The Party,nan,nan,nan,By Manohla Dargis,Review: A London Night Goes Wrong in ‘The Party’,"subject: Movies;creative_works: The Party (Movie);persons: Potter, Sally;persons: Spall, Timothy;persons: Scott Thomas, Kristin;",598.0,Sally Potter directs a very fine cast in a would-be comedy about a calamitously bad evening.,https://www.nytimes.com/2018/02/15/movies/the-party-review-timothy-spall-kristin-scott-thomas.html,2018-02-15T12:00:25+0000,The New York Times
‘The Great Pretender,nan,nan,nan,By Glenn Kenny,‘The Great Pretender’ Review: Tedious Love Affairs in Artsy Brooklyn,"subject: Movies;creative_works: The Great Pretender (Movie);persons: Silver, Nathan (Film Director);persons: Garrel, Esther;",317.0,"In Nathan Silver’s new film, American bros break the hearts of beautiful Frenchwomen. Realism or wishful thinking?",https://www.nytimes.com/2018/12/06/movies/the-great-pretender-review.html,2018-12-06T12:00:01+0000,The New York Times
‘Sicilian Ghost Story,nan,nan,nan,By Jeannette Catsoulis,‘Sicilian Ghost Story’ Review: Fairy-Tale Love Meets Real-Life Crime,"subject: Movies;creative_works: Sicilian Ghost Story (Movie);persons: Grassadonia, Fabio;persons: Piazza, Antonio;",258.0,"Flipping from bucolic to brutal with distressing ease, this beautifully realized movie views a Mafia kidnapping through the prism of first love.",https://www.nytimes.com/2018/11/29/movies/sicilian-ghost-story-review.html,2018-11-29T12:00:06+0000,The New York Times
‘The New Romantic,nan,nan,nan,By Teo Bugbee,‘The New Romantic’ Review: Experiments With Love and Money,"subject: Movies;creative_works: The New Romantic (Movie);persons: Barden, Jessica (1992- );persons: Stone, Carly (Film Director);",269.0,A college newspaper columnist writes about her experiences trading gifts for sex in a film that squanders its good will.,https://www.nytimes.com/2018/11/08/movies/the-new-romantic-review.html,2018-11-08T12:05:01+0000,The New York Times
‘Pimp,nan,nan,nan,By Jeannette Catsoulis,‘Pimp’ Review: Blaxploitation and Lesbian Love,"subject: Movies;persons: Palmer, Keke;persons: Gathegi, Edi;persons: Crokos, Christine;creative_works: Pimp (Movie);",270.0,This lurid melodrama follows a female pimp (Keke Palmer) and her girlfriend-prostitute.,https://www.nytimes.com/2018/11/08/movies/pimp-review.html,2018-11-08T12:00:01+0000,The New York Times
‘In a Relationship,nan,nan,nan,By Jeannette Catsoulis,‘In a Relationship’ Review: Two Couples at Opposite Stages of Love,"subject: Movies;persons: Roberts, Emma (1991- );persons: ANGARANO, MICHAEL;persons: Hemingway, Dree (1987- );creative_works: In a Relationship (Movie);persons: Boyd, Sam (Film Director);",253.0,"Sam Boyd’s gentle, loose-limbed romantic comedy wins no prizes for originality.",https://www.nytimes.com/2018/11/08/movies/in-a-relationship-review.html,2018-11-08T12:00:01+0000,The New York Times
‘They,nan,nan,nan,By Manohla Dargis,Review: ‘They’ll Love Me When I’m Dead’ Documents Orson Welles’s Last Film,"subject: Documentary Films and Programs;creative_works: They'll Love Me When I'm Dead (Movie);persons: Neville, Morgan;creative_works: The Other Side of the Wind (Movie);persons: Welles, Orson;",794.0,Morgan Neville’s movie tells the tumultuous behind-the-scenes story of the making and near-unmaking of “The Other Side of the Wind.”,https://www.nytimes.com/2018/11/01/movies/theyll-love-me-when-im-dead-review-documentary.html,2018-11-01T13:56:39+0000,The New York Times
"‘Burning,",nan,nan,nan,By Manohla Dargis,"Review: In ‘Burning,’ Love Ignites a Divided World","subject: Movies;creative_works: Burning (Movie);persons: Lee Chang-dong;persons: Yeun, Steven;persons: Murakami, Haruki;",949.0,The great South Korean director Lee Chang-dong’s latest involves three characters subsumed by desire and rage.,https://www.nytimes.com/2018/10/25/movies/burning-review.html,2018-10-25T17:39:04+0000,The New York Times
"‘After Everything,",nan,nan,nan,By Teo Bugbee,"Review: In ‘After Everything,’ a Young Love Blooms in Crisis","subject: Movies;creative_works: After Everything (Movie);persons: White, Jeremy Allen;persons: Monroe, Maika;",268.0,This cancer drama focuses less on the high stakes of illness than on how two young people talk to each other in sickness and in health.,https://www.nytimes.com/2018/10/11/movies/after-everything-review.html,2018-10-11T11:00:01+0000,The New York Times
‘Quincy,nan,nan,nan,By Glenn Kenny,Review: ‘Quincy’ Captures a Lifelong Love Affair With Music,"creative_works: Quincy (Movie);persons: Jones, Quincy;persons: Jones, Rashida;persons: Hicks, Alan;subject: Documentary Films and Programs;subject: Music;organizations: Netflix Inc;",460.0,"A documentary reveals its octogenarian subject as still busy and productive, and not a little haunted by memories of friends now gone.",https://www.nytimes.com/2018/09/20/movies/quincy-review-quincy-jones.html,2018-09-20T14:00:01+0000,The New York Times
"‘Love, Gilda,",nan,nan,nan,By Jason Zinoman,"Review: In ‘Love, Gilda,’ a Portrait of a Brief and Brilliant Career","subject: Documentary Films and Programs;creative_works: Love, Gilda (Movie);persons: Radner, Gilda;persons: D'Apolito, Lisa;creative_works: Saturday Night Live (TV Program);subject: Television;subject: Comedy and Humor;",421.0,"Adding to the booming genre of comedian documentaries, this film is an affectionate portrait of one of the first major stars of “Saturday Night Live.”",https://www.nytimes.com/2018/09/20/movies/love-gilda-review-saturday-night-live-documentary.html,2018-09-20T11:00:01+0000,The New York Times
"‘Tea With the Dames,",nan,nan,nan,By Glenn Kenny,"Review: In ‘Tea With the Dames,’ Four Legends Dish on Acting and Love","subject: Documentary Films and Programs;creative_works: Tea with the Dames (Movie);persons: Dench, Judi;persons: Smith, Maggie;persons: Plowright, Joan;persons: Hebets, Eileen A;persons: Michell, Roger;",271.0,"This documentary with a simple premise — Eileen Atkins, Judi Dench, Joan Plowright and Maggie Smith in conversation — delivers insight and gossip.",https://www.nytimes.com/2018/09/20/movies/tea-with-the-dames-review.html,2018-09-20T11:00:01+0000,The New York Times
"‘Bel Canto,",nan,nan,nan,By Jeannette Catsoulis,"Review: In ‘Bel Canto,’ Music Is the Food of Love and Rebellion","subject: Movies;persons: Moore, Julianne;persons: Weitz, Paul;persons: Watanabe, Ken;creative_works: Bel Canto (Movie);",464.0,Julianne Moore plays an opera singer trapped in a South American mansion in this disappointingly passionless film.,https://www.nytimes.com/2018/09/13/movies/bel-canto-review-julianne-moore.html,2018-09-13T11:00:01+0000,The New York Times
"‘The Citizen,",nan,nan,nan,By Glenn Kenny,"Review: In ‘The Citizen,’ an Immigrant Picks a Bad Time to Fall in Love","subject: Movies;creative_works: The Citizen (Movie);persons: Vranik, Roland;",274.0,"This Hungarian film is a careful, compassionate and beautifully acted character drama with a social conscience.",https://www.nytimes.com/2018/07/05/movies/the-citizen-review.html,2018-07-05T12:00:01+0000,The New York Times
"‘Love, Cecil,",nan,nan,nan,By Glenn Kenny,"Review: In ‘Love, Cecil,’ an Aesthete Ahead of His Time","subject: Documentary Films and Programs;creative_works: Love, Cecil (Movie);persons: Beaton, Cecil;persons: Vreeland, Lisa Immordino;",293.0,"Lisa Immordino Vreeland’s new documentary is about Cecil Beaton, the British dandy, photographer and theatrical designer.",https://www.nytimes.com/2018/06/28/movies/love-cecil-beaton-documentary-review.html,2018-06-28T11:00:01+0000,The New York Times
‘How to Talk to Girls at Parties,nan,nan,nan,By Jeannette Catsoulis,Review: An Alien Teaches a Teenage Punk ‘How to Talk to Girls at Parties’,"subject: Movies;creative_works: How to Talk to Girls at Parties (Movie);persons: Mitchell, John Cameron;persons: Fanning, Elle;persons: Sharp, Alexander;",458.0,John Cameron Mitchell’s loony romantic comedy encourages young love to bloom in the soil of an alien visitation.,https://www.nytimes.com/2018/05/24/movies/how-to-talk-to-girls-at-parties-review.html,2018-05-24T11:00:01+0000,The New York Times
"‘Rogers Park,",nan,nan,nan,By Glenn Kenny,"Review: In ‘Rogers Park,’ Life and Love in a Chicago Neighborhood","subject: Movies;creative_works: Rogers Park (Movie);persons: Henry, Kyle;",325.0,Two couples struggle to find serenity as middle age and its multiple discontents come breathing down their necks.,https://www.nytimes.com/2018/04/26/movies/review-rogers-park.html,2018-04-26T11:00:10+0000,The New York Times
"‘Love & Bananas,",nan,nan,nan,By Glenn Kenny,"Review: In ‘Love & Bananas,’ Uncovering the Plight of the Asian Elephant","creative_works: Love & Bananas: An Elephant Story (Movie);persons: Bell, Ashley (1986- );subject: Elephants;subject: Animal Abuse, Rights and Welfare;subject: Documentary Films and Programs;",254.0,"In this personal movie, the actress Ashley Bell embarks on an elephant rescue in Thailand that also reveals the threats to the animal’s survival.",https://www.nytimes.com/2018/04/26/movies/love-and-bananas-review-asian-elephants.html,2018-04-26T11:00:01+0000,The New York Times
,nan,nan,nan,By A.O. Scott,"Review: If You Love Godard, You’ll Hate-Watch ‘Godard Mon Amour’","subject: Movies;creative_works: Godard Mon Amour (Movie);persons: Hazanavicius, Michel;persons: Godard, Jean-Luc;persons: Wiazemsky, Anne;persons: Garrel, Louis;",937.0,A portrait of a filmmaker in crisis that might have worked better as a comedy sketch.,https://www.nytimes.com/2018/04/18/movies/godard-mon-amour-review.html,2018-04-18T23:02:46+0000,The New York Times
,nan,nan,nan,By Glenn Kenny,Review: Aid Workers in Love and War in Sean Penn’s ‘The Last Face’,"subject: Movies;creative_works: The Last Face (Movie);persons: Penn, Sean;persons: Bardem, Javier;persons: Theron, Charlize;",280.0,"In war-torn Liberia, Charlize Theron and Javier Bardem face a big problem: how to keep their knotty relationship from fizzling.",https://www.nytimes.com/2017/07/27/movies/the-last-face-review-charlize-theron-sean-penn.html,2017-07-27T20:29:01+0000,The New York Times
,nan,nan,nan,By Manohla Dargis,"Review: Those Movies, Himself — Bertrand Tavernier’s Tour of French Cinema","subject: Documentary Films and Programs;persons: Tavernier, Bertrand;creative_works: My Journey Through French Cinema (Movie);glocations: France;",773.0,"In “My Journey Through French Cinema,” Mr. Tavernier’s documentary about movies doubles as an autobiography.",https://www.nytimes.com/2017/06/22/movies/my-journey-through-french-cinema-review-bertrand-tavernier.html,2017-06-22T21:14:56+0000,The New York Times
,nan,nan,nan,By Ken Jaworowski,Review: It’s All Mirth and Taxes in ‘Love & Taxes’,"creative_works: Love & Taxes (Movie);persons: Kornbluth, Jacob;subject: Movies;persons: Kornbluth, Josh;",246.0,Josh Kornbluth runs afoul of the Internal Revenue Service after failing to file tax returns for seven years.,https://www.nytimes.com/2017/03/02/movies/love-taxes-review.html,2017-03-02T21:44:18+0000,The New York Times
"‘Submergence,",nan,nan,nan,By Glenn Kenny,"Review: In ‘Submergence,’ a Love Story Sunk by Geopolitics","subject: Movies;creative_works: Submergence (Movie);persons: Vikander, Alicia (1988- );persons: McAvoy, James;persons: Wenders, Wim;persons: Ledgard, J M;persons: Dignam, Erin;subject: Books and Literature;",591.0,"In Wim Wenders’s film, Alicia Vikander and James McAvoy are soul mates who find each other before a plotline involving Somali jihadists separates them.",https://www.nytimes.com/2018/04/12/movies/submergence-review-wim-wenders.html,2018-04-12T11:00:01+0000,The New York Times
"‘Love After Love,",nan,nan,nan,By Jeannette Catsoulis,"Review: In ‘Love After Love,’ an Unflinching Look at Extended Grief","subject: Movies;creative_works: Love After Love (Movie);persons: Harbaugh, Russ;persons: MacDowell, Andie;",280.0,Russ Harbaugh’s debut feature delivers something rarely seen in American movies: a warts-and-all examination of extended grief.,https://www.nytimes.com/2018/03/29/movies/love-after-love-review.html,2018-03-29T11:00:01+0000,The New York Times
‘Outside In,nan,nan,nan,By Jeannette Catsoulis,Review: On Parole and in Love in ‘Outside In’,"subject: Movies;creative_works: Outside In (Movie);persons: Shelton, Lynn;persons: Duplass, Jay;persons: Falco, Edie;persons: Dever, Kaitlyn;",422.0,Edie Falco and Jay Duplass connect romantically in this life-after-prison drama that prioritizes patience and pragmatism over passion.,https://www.nytimes.com/2018/03/29/movies/outside-in-review-jay-duplass-edie-falco.html,2018-03-29T11:00:01+0000,The New York Times
"‘Love, Simon,",nan,nan,nan,By Glenn Kenny,"Review: In ‘Love, Simon,’ a Glossy Teen Romance, the Hero Has a Secret","subject: Movies;creative_works: Love, Simon (Movie);persons: Berlanti, Greg;persons: Robinson, Nick (1995- );",272.0,"This comedy set in a particularly idyllic Atlanta suburb has a gay love story, a blackmailing weasel and surprising emotional resonance.",https://www.nytimes.com/2018/03/15/movies/love-simon-review.html,2018-03-15T17:26:47+0000,The New York Times
"‘Keep the Change,",nan,nan,nan,By Glenn Kenny,"Review: In ‘Keep the Change,’ Two People With Autism Find Love","subject: Movies;creative_works: Keep the Change (Movie);persons: Israel, Rachel;",258.0,"A stubborn thirtysomething sentenced to spend time in an autism support group after an arrest finds romance, in this film starring actors with autism.",https://www.nytimes.com/2018/03/15/movies/keep-the-change-review.html,2018-03-15T16:10:25+0000,The New York Times
"‘The Housemaid,",nan,nan,nan,By Jeannette Catsoulis,"Review: In ‘The Housemaid,’ Twisted Love and Angry Ghosts in Vietnam","subject: Movies;glocations: Vietnam;persons: Nguyen, Derek;creative_works: The Housemaid (Movie);",273.0,"Set in 1953, when the country was under French colonial rule, the story takes place on a plantation that harbors shameful secrets — and an apparition.",https://www.nytimes.com/2018/02/15/movies/the-housemaid-review.html,2018-02-15T12:00:02+0000,The New York Times
"‘Forever My Girl,",nan,nan,nan,By Glenn Kenny,"Review: In ‘Forever My Girl,’ a Romance Resumes After a Long Break","subject: Movies;creative_works: Forever My Girl (Movie);persons: Wolf, Bethany Ashton;",273.0,There are few hard feelings in Bethany Ashton Wolf’s adaptation of a novel by Heidi McLaughlin.,https://www.nytimes.com/2018/01/19/movies/forever-my-girl-review.html,2018-01-19T17:22:06+0000,The New York Times
‘Kangaroo: A Love-Hate Story,nan,nan,nan,By Ken Jaworowski,Review: ‘Kangaroo: A Love-Hate Story’ Exposes a Wildlife Massacre,"creative_works: Kangaroo: A Love-Hate Story (Movie);subject: Kangaroos;subject: Animal Abuse, Rights and Welfare;persons: McIntyre Clere, Kate;persons: McIntyre, Mick;subject: Documentary Films and Programs;glocations: Australia;",263.0,"The documentary looks at the mass killings of kangaroos for pet-food companies, leather processors and ranchers in Australia.",https://www.nytimes.com/2018/01/18/movies/kangaroo-a-love-hate-story-review.html,2018-01-18T12:00:23+0000,The New York Times
‘Lover for a Day,nan,nan,nan,By Manohla Dargis,Review: A Man and a Woman (and Another Woman) in ‘Lover for a Day’,"subject: Movies;creative_works: Lover for a Day (Movie);persons: Garrel, Philippe;",863.0,"In Philippe Garrel’s drama, a 23-year-old woman moves in with her father and his 23-year-old girlfriend. Complications ensue.",https://www.nytimes.com/2018/01/11/movies/lover-for-a-day-review-philippe-garrel.html,2018-01-11T16:20:53+0000,The New York Times
"‘Youth,",nan,nan,nan,By Glenn Kenny,"Review: In ‘Youth,’ the People’s Dance Troupe, in Love and War",subject: Movies;persons: Feng Xiaogang;creative_works: Youth (Movie);,267.0,This decades-spanning melodrama chronicles the rivalries and heartbreaks of a dance troupe in Mao’s China.,https://www.nytimes.com/2017/12/14/movies/youth-review.html,2017-12-14T12:00:26+0000,The New York Times
‘Killing for Love,nan,nan,nan,By Ben Kenigsberg,Review: ‘Killing for Love’ Revisits a Virginia Murder Case,"creative_works: Killing for Love (Movie);persons: Soering, Jens;persons: Haysom, Elizabeth;persons: Vetter, Marcus (1967- );persons: Steinberger, Karin;subject: Documentary Films and Programs;subject: Murders, Attempted Murders and Homicides;",281.0,"The true-crime documentary lays out a persuasive case for reasonable doubt in the case against Jens Soering, who was convicted, along with his girlfriend.",https://www.nytimes.com/2017/12/14/movies/killing-for-love-review.html,2017-12-14T12:00:26+0000,The New York Times
‘The Shape of Water,nan,nan,nan,By A.O. Scott,Review: ‘The Shape of Water’ Is Altogether Wonderful,"subject: Movies;creative_works: The Shape of Water (Movie);persons: Del Toro, Guillermo;persons: Spencer, Octavia;persons: Shannon, Michael;persons: Hawkins, Sally;persons: Jones, Doug (1960- );",924.0,"Guillermo del Toro’s latest film is an unlikely and lyrical love story, inspired by “Creature From the Black Lagoon.”",https://www.nytimes.com/2017/11/30/movies/the-shape-of-water-review-guillermo-del-toro.html,2017-11-30T16:10:56+0000,The New York Times
"‘Love Beats Rhymes,",nan,nan,nan,By Glenn Kenny,"Review: In ‘Love Beats Rhymes,’ a Hip-Hop Artist Transformed by Poetry","subject: Movies;subject: Rap and Hip-Hop;persons: RZA;persons: Banks, Azealia;creative_works: Love Beats Rhymes (Movie);",319.0,"The rap luminary RZA and the hip-hop musician Azealia Banks team up for a story of rap and poetry, “Love Beats Rhymes.”",https://www.nytimes.com/2017/11/30/movies/love-beats-rhymes-azealia-banks-rza.html,2017-11-30T12:00:05+0000,The New York Times
‘Cuba and the Cameraman,nan,nan,nan,By Glenn Kenny,Review: ‘Cuba and the Cameraman’ Lavishes Love on a Country … and Castro,"subject: Documentary Films and Programs;glocations: Cuba;creative_works: Cuba and the Cameraman (Movie);persons: ALPERT, JON;",427.0,The filmmaker Jon Alpert has been visiting and documenting Cuba for 45 years. His new movie looks back fondly at its people and its leader.,https://www.nytimes.com/2017/11/23/movies/cuba-and-the-cameraman-review.html,2017-11-23T12:00:20+0000,The New York Times
‘On the Beach at Night Alone,nan,nan,nan,By A.O. Scott,Review: ‘On the Beach at Night Alone’ Zooms in on a Love Affair,subject: Movies;creative_works: On the Beach at Night Alone (Movie);persons: Hong Sang-soo;persons: Kim Min-hee;,520.0,Kim Min-hee stars in a new film from the prolific South Korean director Hong Sang-soo. The movie has been seen as based partly on their affair.,https://www.nytimes.com/2017/11/16/movies/on-the-beach-at-night-alone-review-hong-sang-soo.html,2017-11-16T12:00:20+0000,The New York Times
"‘Thelma,",nan,nan,nan,By Manohla Dargis,"Review: In ‘Thelma,’ a Woman in Love Can Burn Down the World","subject: Movies;creative_works: Thelma (Movie);persons: Trier, Joachim;",757.0,"In Joachim Trier’s sly psychological thriller “Thelma,” a child-woman finds love and discovers that behaving like a good girl can be a very bad idea.",https://www.nytimes.com/2017/11/09/movies/review-in-thelma-a-woman-in-love-can-burn-down-the-world.html,2017-11-09T20:08:31+0000,The New York Times
"‘Hello Again,",nan,nan,nan,By Andy Webster,"Review: ‘Hello Again,’ a Movie Musical Ode to Love and Lust Over Decades","subject: Movies;creative_works: Hello Again (Movie);persons: Gustafson, Tom;persons: Jackson, Cheyenne;persons: McDonald, Audra;persons: Willis, Rumer (1988- );persons: LaChiusa, Michael John;",321.0,"This film from Tom Gustafson, based on a 1993 Off Broadway show, has a formidable cast of Broadway names but wants for dramatic traction.",https://www.nytimes.com/2017/11/07/movies/hello-again-review.html,2017-11-07T19:13:29+0000,The New York Times
"‘It Happened in L.A.,",nan,nan,nan,By Andy Webster,"Review: ‘It Happened in L.A.,’ All That Questing After Love","subject: Movies;creative_works: It Happened in L.A. (Movie);persons: Morgan, Michelle (Filmmaker);persons: Hemingway, Dree (1987- );",263.0,"This ensemble comedy from Michelle Morgan concerns one woman who exits a relationship, and another who seeks one. Their city only complicates matters.",https://www.nytimes.com/2017/11/02/movies/it-happened-in-la-review.html,2017-11-02T11:00:03+0000,The New York Times
‘God,nan,nan,nan,By Jeannette Catsoulis,"Review: Love Is Wild, if Not Pretty, in ‘God’s Own Country’","subject: Movies;creative_works: God's Own Country (Movie);persons: Lee, Francis (1969- );persons: O'Connor, Josh (Actor);persons: Secareanu, Alec;",295.0,"This feature debut of the writer and director Francis Lee is a bracing, sometimes brutal movie.",https://www.nytimes.com/2017/10/24/movies/gods-own-country-review.html,2017-10-24T11:00:24+0000,The New York Times
‘The Mountain Between Us,nan,nan,nan,By Jeannette Catsoulis,Review: Love in a Cold Climate in ‘The Mountain Between Us’,"subject: Movies;creative_works: The Mountain Between Us (Movie);persons: ABU-ASSAD, HANY;persons: Elba, Idris;persons: Winslet, Kate;",272.0,Idris Elba and Kate Winslet crash into a mountain — and each other — in this drama.,https://www.nytimes.com/2017/10/05/movies/the-mountain-between-us-review-kate-winslet-idris-elba.html,2017-10-05T11:00:05+0000,The New York Times
"‘Dina,",nan,nan,nan,By Glenn Kenny,"Review: In the Documentary ‘Dina,’ a Differently Abled Love Story","creative_works: Dina (Movie);subject: Documentary Films and Programs;persons: Sickles, Dan (Film Director);persons: Santini, Antonio (Film Director);subject: Autism;subject: Dating and Relationships;",290.0,"An intimate, affecting film about a couple with autism, as they plan their wedding.",https://www.nytimes.com/2017/10/05/movies/dina-review.html,2017-10-05T11:00:05+0000,The New York Times
‘In Search of Fellini,nan,nan,nan,By Monica Castillo,Review: Love of Il Maestro Drives ‘In Search of Fellini’,"subject: Movies;creative_works: In Search of Fellini (Movie);persons: Cartwright, Nancy;persons: Solo, Ksenia;persons: Lexton, Taron;",272.0,A sheltered young woman enamored of the films of the famous director sets off to Italy to meet him.,https://www.nytimes.com/2017/09/14/movies/in-search-of-fellini-review.html,2017-09-14T11:00:24+0000,The New York Times
"‘Woodpeckers,",nan,nan,nan,By Andy Webster,"Review: ‘Woodpeckers,’ a Tale of Love and Agonizing Penal Confinement","subject: Movies;creative_works: Woodpeckers (Movie);persons: Cabral, Jose Maria;persons: Jean, Jean (Actor);persons: Rodriguez, Judith (1985- );",242.0,José María Cabral’s drama concerns a male and female convict in adjacent penitentiaries who use a sign language — “woodpecking” — in order to connect.,https://www.nytimes.com/2017/09/14/movies/woodpeckers-review.html,2017-09-14T10:00:14+0000,The New York Times
‘I Do ... Until I Don,nan,nan,nan,By Jeannette Catsoulis,"Review: In ‘I Do ... Until I Don’t,’ Love and Loathing in Florida","subject: Movies;persons: Bell, Lake;persons: Reiser, Paul;creative_works: I Do... Until I Don't (Movie);",258.0,Three married couples outwit a documentary filmmaker in Lake Bell’s sex comedy.,https://www.nytimes.com/2017/08/31/movies/i-do-until-i-dont-review.html,2017-08-31T13:00:02+0000,The New York Times
‘Tales of an Immoral Couple,nan,nan,nan,By Monica Castillo,Review: ‘Tales of an Immoral Couple’: Love Means Having to Grow Up,"subject: Movies;creative_works: Tales of an Immoral Couple (Movie);persons: Caro, Manolo;",284.0,"Twenty-five years after they split, two former high school sweethearts reluctantly reunite for an awkward night.",https://www.nytimes.com/2017/08/24/movies/tales-of-an-immoral-couple-review.html,2017-08-24T16:22:43+0000,The New York Times
"‘Women Who Kill,",nan,nan,nan,By Ken Jaworowski,"Review: She Hosts ‘Women Who Kill,’ and May Be in Love With One","subject: Movies;creative_works: Women Who Kill (Movie);persons: Jungermann, Ingrid (1977- );",411.0,"In Ingrid Jungermann’s droll comedy, ex-lovers who produce a podcast about serial killers find themselves at odds when a new romantic interest emerges.",https://www.nytimes.com/2017/07/25/movies/women-who-kill-review.html,2017-07-25T21:38:36+0000,The New York Times
"‘False Confessions,",nan,nan,nan,By Manohla Dargis,"Review: With ‘False Confessions,’ the Play’s Not Quite the Thing","subject: Movies;creative_works: False Confessions (Movie);persons: Bondy, Luc;persons: Huppert, Isabelle;persons: Garrel, Louis;",527.0,Isabelle Huppert and Louis Garrel star in a screen version of an 18th-century Marivaux play and the last film directed by Luc Bondy.,https://www.nytimes.com/2017/07/13/movies/false-confessions-review-isabelle-huppert.html,2017-07-13T19:49:06+0000,The New York Times
"‘The Big Sick,",nan,nan,nan,By Manohla Dargis,"Review: In ‘The Big Sick,’ Comedy Is Hard, Love Harder","subject: Movies;creative_works: The Big Sick (Movie);persons: Nanjiani, Kumail;persons: Gordon, Emily V;persons: Kazan, Zoe;persons: Showalter, Michael;",1073.0,"Kumail Nanjiani stars opposite Zoe Kazan in this very funny, moving true story about how he found and almost lost love. Holly Hunter and Ray Romano also star.",https://www.nytimes.com/2017/06/22/movies/the-big-sick-review-kumail-nanjiani.html,2017-06-22T09:00:31+0000,The New York Times
‘Lost in Paris,nan,nan,nan,By Ben Kenigsberg,Review: Finding Love (and Slapstick) While ‘Lost in Paris’,"creative_works: Lost in Paris (Movie);subject: Movies;persons: Abel, Dominique;persons: Gordon, Fiona;persons: Riva, Emmanuelle;",254.0,"The filmmakers Fiona Gordon and Dominique Abel star in their fourth movie, a tale infused with physical comedy about a woman in search of her aunt.",https://www.nytimes.com/2017/06/15/movies/lost-in-paris-review.html,2017-06-15T19:37:09+0000,The New York Times
"‘Vincent N Roxxy,",nan,nan,nan,By Ken Jaworowski,"Review: In ‘Vincent N Roxxy,’ Love Is in the Air, N So Is Fear","subject: Movies;creative_works: Vincent N Roxxy (Movie);persons: Kravitz, Zoe;persons: Schultz, Gary Michael;persons: Hirsch, Emile;",287.0,"This combination crime drama and romance finds Emile Hirsch and Zoë Kravitz circling each other, and trying to stay away from bad guys.",https://www.nytimes.com/2017/06/01/movies/vincent-n-roxxy-review.html,2017-06-01T19:52:51+0000,The New York Times
"‘Everything, Everything",nan,nan,nan,By Neil Genzlinger,"Review: ‘Everything, Everything’ Pits Love Against Disease","subject: Movies;creative_works: Everything, Everything (Movie);persons: Meghie, Stella;persons: Stenberg, Amandla (1998- );persons: Robinson, Nick (1995- );",270.0,"Amandla Stenberg plays a teenager with an immune system disorder who falls for the boy next door, and risks everything.",https://www.nytimes.com/2017/05/18/movies/everything-everything-review.html,2017-05-18T21:02:53+0000,The New York Times
‘Hounds of Love,nan,nan,nan,By Ben Kenigsberg,Review: ‘Hounds of Love’ Is Tense and Deadly Down Under,"subject: Movies;creative_works: Hounds of Love (Movie);persons: Young, Ben (Film Director);",280.0,This feature debut of the Australian filmmaker Ben Young resembles a real-life couple’s killing spree in the 1980s.,https://www.nytimes.com/2017/05/11/movies/hounds-of-love-review.html,2017-05-11T20:16:51+0000,The New York Times
