Title,genres,spoken_languages,production_countries,byline,headline,keywords,word_count,snippet,web_url,pub_date,source
‘Babyteeth,nan,nan,nan,By Manohla Dargis,"‘Babyteeth’ Review: Love Means Never Having, Well, You Know","subject: Movies;creative_works: Babyteeth (Movie);persons: Murphy, Shannon (Film Director);persons: Scanlen, Eliza;persons: Wallace, Toby (1996- );",517.0,"Eliza Scanlen plays a seriously ill high schooler who falls for the wrong guy who turns out to have the right stuff, after all.",https://www.nytimes.com/2020/06/18/movies/babyteeth-review.html,2020-06-18T16:31:36+0000,The New York Times
‘Spelling the Dream,nan,nan,nan,By Bilal Qureshi,‘Spelling the Dream’ Review: Words of Inspiration,"subject: Documentary Films and Programs;subject: Scripps National Spelling Bee;persons: Rega, Sam;creative_works: Spelling the Dream (Movie);subject: Spelling;organizations: Netflix Inc;",296.0,"This Netflix documentary explores the unbroken Indian-American dominance of the U.S. national spelling bee, to less than winning results.",https://www.nytimes.com/2020/06/03/movies/spelling-the-dream-review.html,2020-06-03T12:44:10+0000,The New York Times
‘A Secret Love,nan,nan,nan,By Natalia Winkelman,‘A Secret Love’ Review: A Lesbian Couple’s Enduring Affection,"subject: Documentary Films and Programs;subject: Homosexuality and Bisexuality;persons: Bolan, Chris (Filmmaker);creative_works: A Secret Love (Movie);",309.0,"This tender film explores the partnership between two women who lived, in public and to kin, as dear friends for six decades.",https://www.nytimes.com/2020/04/29/movies/a-secret-love-review.html,2020-04-29T07:01:02+0000,The New York Times
‘Love Wedding Repeat,nan,nan,nan,By Amy Nicholson,‘Love Wedding Repeat’ Review: A Tumble Down the Aisle,"subject: Movies;creative_works: Love Wedding Repeat (Movie);persons: Craig, Dean (1974- );persons: Claflin, Sam;persons: Munn, Olivia;",414.0,A couple’s reception becomes a disaster (or does it?) in this comedy of multiple errors.,https://www.nytimes.com/2020/04/10/movies/love-wedding-repeat-review-a-tumble-down-the-aisle.html,2020-04-10T07:01:05+0000,The New York Times
‘Almost Love,nan,nan,nan,By Teo Bugbee,"‘Almost Love’ Review: Schooled in Romance, but Missing Class","subject: Movies;creative_works: Almost Love (Movie);persons: Doyle, Mike (1972- );",408.0,This ensemble comedy treats class solidarity as the love that dare not speak its name.,https://www.nytimes.com/2020/04/02/movies/almost-love-review.html,2020-04-02T11:00:03+0000,The New York Times
‘Hope Gap,nan,nan,nan,By Aisha Harris,‘Hope Gap’ Review: A Thin Line Between Love and War,"subject: Movies;persons: Bening, Annette;persons: Nighy, Bill;persons: Nicholson, William (1948- );creative_works: Hope Gap (Movie);",257.0,Annette Bening and Bill Nighy play a couple that has lost its way after 29 years of marriage.,https://www.nytimes.com/2020/03/05/movies/hope-gap-review-a-thin-line-between-love-and-war.html,2020-03-05T12:00:03+0000,The New York Times
‘All the Bright Places,nan,nan,nan,By Candice Frederick,‘All the Bright Places’ Review: Love Amid Trauma,"subject: Movies;creative_works: All the Bright Places (Movie);persons: Haley, Brett;persons: Fanning, Elle;persons: Smith, Justice (1995- );organizations: Netflix Inc;",233.0,Elle Fanning and Justice Smith breathe life into a film about mental illness and the healing power of love.,https://www.nytimes.com/2020/02/28/movies/all-the-bright-places-review.html,2020-02-28T08:01:07+0000,The New York Times
‘The Photograph,nan,nan,nan,By Manohla Dargis,‘The Photograph’ Review: An Unabashedly Old-School Love Story,"subject: Movies;creative_works: The Photograph (Movie);persons: Meghie, Stella;persons: Rae, Issa;persons: Stanfield, Lakeith;",862.0,Issa Rae and a terrific Lakeith Stanfield play a New York couple whose romance sends them and the story into the past.,https://www.nytimes.com/2020/02/13/movies/the-photograph-review.html,2020-02-13T20:54:33+0000,The New York Times
‘You Go to My Head,nan,nan,nan,By Jeannette Catsoulis,‘You Go to My Head’ Review: Untrue Love,"subject: Movies;creative_works: You Go to My Head (Movie);persons: de Clercq, Dimitri;",292.0,A mysterious architect persuades an amnesiac that she’s his wife in this elusive romance set in the Sahara.,https://www.nytimes.com/2020/02/13/movies/you-go-to-my-head-review.html,2020-02-13T12:00:05+0000,The New York Times
‘Ordinary Love,nan,nan,nan,By A.O. Scott,‘Ordinary Love’ Review: In Sickness and in Health,"subject: Movies;creative_works: Ordinary Love (Movie);persons: Neeson, Liam;persons: Manville, Lesley;persons: D'Sa, Lisa Barros;persons: Leyburn, Glenn;",569.0,Lesley Manville and Liam Neeson play a married couple facing a cancer diagnosis.,https://www.nytimes.com/2020/02/12/movies/ordinary-love-review.html,2020-02-12T19:46:45+0000,The New York Times
